id,node_def_id,tab_id,ctrl_id,tab_sequence,ctrl_sequence,,
1,1,2,1,1,1,LabelCol,DecisionTree
2,1,2,2,1,2,FeaturesCol,DecisionTree
3,1,2,3,1,3,RawPredictionCol,DecisionTree
4,1,2,4,1,4,Seed,DecisionTree
5,1,2,5,1,5,CheckpointInterval,DecisionTree
6,1,2,6,1,6,Impurity,DecisionTree
7,1,2,7,1,7,MaxBins,DecisionTree
8,1,2,8,1,8,MaxDepth,DecisionTree
9,1,2,9,1,9,MinInfoGain,DecisionTree
10,1,2,10,1,10,MinInstancesPerNode,DecisionTree
11,1,2,11,1,11,PredictionCol,DecisionTree
12,1,2,12,1,12,ProbabilityCol,DecisionTree
13,1,2,13,1,13,Thresholds,DecisionTree
14,1,3,197,2,1,executor_cores,
15,1,3,198,2,2,num_executors,
16,1,3,199,2,3,executor_memory,
17,2,2,14,1,1,LabelCol,GBTC
18,2,2,15,1,2,FeaturesCol,GBTC
19,2,2,16,1,3,MaxIter,GBTC
20,2,2,17,1,4,Impurity,GBTC
21,2,2,18,1,5,MaxBins,GBTC
22,2,2,19,1,6,MaxDepth,GBTC
23,2,2,20,1,7,MinInfoGain,GBTC
24,2,2,21,1,8,CheckpointInterval,GBTC
25,2,2,22,1,9,MinInstancesPerNode,GBTC
26,2,2,23,1,10,PredictionCol,GBTC
27,2,2,24,1,11,Seed,GBTC
28,2,2,25,1,12,RawPredictionCol,GBTC
29,2,2,26,1,13,subsamplingRate,GBTC
30,2,2,27,1,14,LossType,GBTC
31,2,2,28,1,15,StepSize,GBTC
32,2,3,197,2,1,executor_cores,
33,2,3,198,2,2,num_executors,
34,2,3,199,2,3,executor_memory,
35,3,2,29,1,1,MaxIter,LogisticRegression
36,3,2,30,1,2,RegParam,LogisticRegression
37,3,2,31,1,3,ElasticNetParam,LogisticRegression
38,3,2,32,1,4,Family,LogisticRegression
39,3,2,33,1,5,LabelCol,LogisticRegression
40,3,2,34,1,6,FeaturesCol,LogisticRegression
41,3,2,35,1,7,FitIntercept,LogisticRegression
42,3,2,36,1,8,Standardization,LogisticRegression
43,3,2,37,1,9,Threshold,LogisticRegression
44,3,2,38,1,10,Tol,LogisticRegression
45,3,2,39,1,11,ProbabilityCol,LogisticRegression
46,3,2,40,1,12,RawPredictionCol,LogisticRegression
47,3,2,41,1,13,PredictionCol,LogisticRegression
48,3,3,197,2,1,executor_cores,
49,3,3,198,2,2,num_executors,
50,3,3,199,2,3,executor_memory,
51,4,2,42,1,1,LabelCol,NaiveBayes
52,4,2,43,1,2,FeaturesCol,NaiveBayes
53,4,2,44,1,3,WeightCol,NaiveBayes
54,4,2,45,1,4,ModelType,NaiveBayes
55,4,2,46,1,5,smothing,NaiveBayes
56,4,2,47,1,6,PredictionCol,NaiveBayes
57,4,2,48,1,7,ProbabilityCol,NaiveBayes
58,4,2,49,1,8,RawPredictionCol,NaiveBayes
59,4,2,50,1,9,Thresholds,NaiveBayes
60,4,3,197,2,1,executor_cores,
61,4,3,198,2,2,num_executors,
62,4,3,199,2,3,executor_memory,
63,5,2,51,1,1,LabelCol,RandomForest
64,5,2,52,1,2,FeaturesCol,RandomForest
65,5,2,53,1,3,NumTrees,RandomForest
66,5,2,54,1,4,Impurity,RandomForest
67,5,2,55,1,5,MaxBins,RandomForest
68,5,2,56,1,6,MaxDepth,RandomForest
69,5,2,57,1,7,MinInfoGain,RandomForest
70,5,2,58,1,8,CheckpointInterval,RandomForest
71,5,2,59,1,9,MinInstancesPerNode,RandomForest
72,5,2,60,1,10,PredictionCol,RandomForest
73,5,2,61,1,11,FeatureSubsetStrategy,RandomForest
74,5,2,62,1,12,ProbabilityCol,RandomForest
75,5,2,63,1,13,Thresholds,RandomForest
76,5,2,64,1,14,Seed,RandomForest
77,5,2,65,1,15,RawPredictionCol,RandomForest
78,5,2,66,1,16,subsamplingRate,RandomForest
79,5,3,197,2,1,executor_cores,
80,5,3,198,2,2,num_executors,
81,5,3,199,2,3,executor_memory,
82,6,2,67,1,1,K,BisectingKMeans
83,6,2,68,1,2,Seed,BisectingKMeans
84,6,2,69,1,3,PredictionCol,BisectingKMeans
85,6,2,70,1,4,FeaturesCol,BisectingKMeans
86,6,2,71,1,5,maxInter,BisectingKMeans
87,6,2,72,1,6,minDivisibleClusterSize,BisectingKMeans
88,6,3,197,2,1,executor_cores,
89,6,3,198,2,2,num_executors,
90,6,3,199,2,3,executor_memory,
91,7,2,73,1,1,LabelCol,BinaryClassificationMetrics
92,7,2,74,1,2,PredictionCol,BinaryClassificationMetrics
93,8,2,75,1,1,LabelCol,RegressionMetrics
94,8,2,76,1,2,PredictionCol,RegressionMetrics
95,9,2,77,1,1,InputCol,Binarizer
96,9,2,78,1,2,OutputCol,Binarizer
97,9,2,79,1,3,Threshold,Binarizer
98,10,2,80,1,1,InputCol,Bucketizer
99,10,2,81,1,2,OutputCol,Bucketizer
100,10,2,82,1,3,Splits,Bucketizer
101,11,2,83,1,1,OutputCol,ChiSqSelector
102,11,2,84,1,2,FeaturesCol,ChiSqSelector
103,11,2,85,1,3,LabelCol,ChiSqSelector
104,11,2,86,1,4,NumTopFeatures,ChiSqSelector
105,12,2,87,1,1,InputCol,CountVectorizer
106,12,2,88,1,2,OutputCol,CountVectorizer
107,12,2,89,1,3,VocabSize,CountVectorizer
108,12,2,90,1,4,MinDF,CountVectorizer
109,12,2,91,1,5,Binary,CountVectorizer
110,13,2,92,1,1,InputCol,DCT
111,13,2,93,1,2,OutputCol,DCT
112,13,2,94,1,3,Inverse,DCT
113,27,2,95,1,1,InputCol,IDFTrain
114,27,2,96,1,2,MinDocFreq,IDFTrain
115,27,2,97,1,3,OutputCol,IDFTrain
116,14,2,98,1,1,InputCol,IndexToString
117,14,2,99,1,2,OutputCol,IndexToString
118,15,2,100,1,1,InputCol,MinMaxScaler
119,15,2,101,1,2,OutputCol,MinMaxScaler
120,16,2,102,1,1,InputCol,NGram
121,16,2,103,1,2,OutputCol,NGram
122,16,2,104,1,3,N,NGram
123,17,2,105,1,1,InputCol,Normalizer
124,17,2,106,1,2,OutputCol,Normalizer
125,17,2,107,1,3,P,Normalizer
126,18,2,108,1,1,InputCol,OneHotEncoder
127,18,2,109,1,2,OutputCol,OneHotEncoder
128,18,2,110,1,3,DropLast,OneHotEncoder
129,19,2,111,1,1,InputCol,PCA
130,19,2,112,1,2,OutputCol,PCA
131,19,2,113,1,3,K,PCA
132,20,2,114,1,1,RandomRate,RandomSplit
133,20,2,115,1,2,Trainset,RandomSplit
134,20,2,116,1,3,TestSet,RandomSplit
135,21,2,117,1,1,InputCol,RegexTokenizer
136,21,2,118,1,2,OutputCol,RegexTokenizer
137,21,2,119,1,3,Pattern,RegexTokenizer
138,21,2,120,1,4,MinTokenLength,RegexTokenizer
139,21,2,121,1,5,ToLowercase,RegexTokenizer
140,22,2,122,1,1,InputCol,StandardScaler
141,22,2,123,1,2,OutputCol,StandardScaler
142,22,2,124,1,3,WithMean,StandardScaler
143,22,2,125,1,4,WithStd,StandardScaler
144,23,2,126,1,1,InputCol,StringIndexer
145,23,2,127,1,2,OutputCol,StringIndexer
146,23,2,128,1,3,HandleInvalid,StringIndexer
147,25,2,129,1,1,InputCols,VectorAssembler
148,25,2,130,1,2,OutputCol,VectorAssembler
149,26,2,131,1,1,InputCol,VectorIndexer
150,26,2,132,1,2,OutputCol,VectorIndexer
151,26,2,133,1,3,MaxCategories,VectorIndexer
152,28,2,134,1,1,MaxIter,ALS
153,28,2,135,1,2,RegParam,ALS
154,28,2,136,1,3,UserCol,ALS
155,28,2,137,1,4,ItemCol,ALS
156,28,2,138,1,5,RatingCol,ALS
157,28,2,139,1,6,PredictionCol,ALS
158,28,2,140,1,7,Alpha,ALS
159,28,2,141,1,8,CheckpointInterval,ALS
160,28,2,142,1,9,FinalStorageLevel,ALS
161,28,2,143,1,10,Nonnegative,ALS
162,28,2,144,1,11,NumUserBlocks,ALS
163,28,2,145,1,12,NumItemBlocks,ALS
164,28,2,146,1,13,Rank,ALS
165,28,2,147,1,14,Seed,ALS
166,28,2,148,1,15,ImplicitPrefs,ALS
167,29,2,149,1,1,LabelCol,DecisionTreeRegression
168,29,2,150,1,2,FeaturesCol,DecisionTreeRegression
169,29,2,151,1,3,PredictionCol,DecisionTreeRegression
170,29,2,152,1,4,varianceCol,DecisionTreeRegression
171,29,2,153,1,5,CacheNodeIds,DecisionTreeRegression
172,29,2,154,1,6,CheckpointInterval,DecisionTreeRegression
173,29,2,155,1,7,Impurity,DecisionTreeRegression
174,29,2,156,1,8,MaxBins,DecisionTreeRegression
175,29,2,157,1,9,MaxDepth,DecisionTreeRegression
176,29,2,158,1,10,maxMemoryInMB,DecisionTreeRegression
177,29,2,159,1,11,MinInfoGain,DecisionTreeRegression
178,29,2,160,1,12,MinInstancesPerNode,DecisionTreeRegression
179,29,2,161,1,13,Seed,DecisionTreeRegression
180,29,3,197,2,1,executor_cores,
181,29,3,198,2,2,num_executors,
182,29,3,199,2,3,executor_memory,
183,30,2,162,1,1,MaxIter,LinearRegression
184,30,2,163,1,2,RegParam,LinearRegression
185,30,2,164,1,3,ElasticNetParam,LinearRegression
186,30,2,165,1,4,FitIntercept,LinearRegression
187,30,2,166,1,5,LabelCol,LinearRegression
188,30,2,167,1,6,FeaturesCol,LinearRegression
189,30,2,168,1,7,WeightCol,LinearRegression
190,30,2,169,1,8,AggregationDepth,LinearRegression
191,30,2,170,1,9,Standardization,LinearRegression
192,30,2,171,1,10,Solver,LinearRegression
193,30,2,172,1,11,Tol,LinearRegression
194,30,2,173,1,12,PredictionCol,LinearRegression
195,30,3,197,2,1,executor_cores,
196,30,3,198,2,2,num_executors,
197,30,3,199,2,3,executor_memory,
198,31,2,174,1,1,LabelCol,RandomForestRegression
199,31,2,175,1,2,FeaturesCol,RandomForestRegression
200,31,2,176,1,3,PredictionCol,RandomForestRegression
201,31,2,177,1,4,CacheNodeIds,RandomForestRegression
202,31,2,178,1,5,CheckpointInterval,RandomForestRegression
203,31,2,179,1,6,Seed,RandomForestRegression
204,31,2,180,1,7,Impurity,RandomForestRegression
205,31,2,181,1,8,MaxBins,RandomForestRegression
206,31,2,182,1,9,MaxDepth,RandomForestRegression
207,31,2,183,1,10,maxMemoryInMB,RandomForestRegression
208,31,2,184,1,11,MinInfoGain,RandomForestRegression
209,31,2,185,1,12,MinInstancesPerNode,RandomForestRegression
210,31,2,186,1,13,NumTrees,RandomForestRegression
211,31,2,187,1,14,subsamplingRate,RandomForestRegression
212,31,2,188,1,15,FeatureSubsetStrategy,RandomForestRegression
213,31,3,197,2,1,executor_cores,
214,31,3,198,2,2,num_executors,
215,31,3,199,2,3,executor_memory,
216,32,2,189,1,1,InputCols,Correlations
217,32,2,190,1,2,CorrelationMethod,Correlations
218,33,2,191,1,1,InputCols,StatisticalSummary
219,33,2,192,1,2,rowLabels,StatisticalSummary
220,33,2,193,1,3,ColLabels,StatisticalSummary
221,33,2,194,1,4,transposed,StatisticalSummary
222,33,2,195,1,5,numCols,StatisticalSummary
223,33,2,196,1,6,numRows,StatisticalSummary
